,Crvena haljina sa cvetnim uzorkom,Haljina crvene boje sa cvetnim dezenom,sorts sa dubokim dzepom,slon na terasi,London je glavni grad engleske,Red dress with floral pattern,dress,red dress,elephant,slon,teksas jakna,jakna
Crvena haljina sa cvetnim uzorkom,0.99999994,0.92312837,0.41895345,0.36174527,0.34622762,0.948206,0.5830711,0.91314757,0.24727626,0.3034973,0.4652393,0.39829224
Haljina crvene boje sa cvetnim dezenom,0.92312837,1.0000002,0.50241435,0.42262456,0.4067715,0.87169874,0.50037646,0.8166536,0.31104544,0.36701134,0.5334514,0.47618872
sorts sa dubokim dzepom,0.41895345,0.50241435,0.99999994,0.6164786,0.69457424,0.33960155,0.6417949,0.44105792,0.6283244,0.6585738,0.6782783,0.81455725
slon na terasi,0.36174527,0.42262456,0.6164786,1.0,0.45312467,0.34851563,0.40496725,0.33894157,0.8538978,0.86225694,0.53073984,0.5566294
London je glavni grad engleske,0.34622762,0.4067715,0.69457424,0.45312467,1.0,0.28871524,0.5218459,0.38770223,0.5060968,0.52209866,0.5839543,0.65535814
Red dress with floral pattern,0.948206,0.87169874,0.33960155,0.34851563,0.28871524,1.0000001,0.5432477,0.8645592,0.22722992,0.28246602,0.38528338,0.35902992
dress,0.5830711,0.50037646,0.6417949,0.40496725,0.5218459,0.5432477,1.0000001,0.6492946,0.41162434,0.458803,0.6697338,0.64366156
red dress,0.91314757,0.8166536,0.44105792,0.33894157,0.38770223,0.8645592,0.6492946,1.0,0.2870485,0.3229511,0.46699524,0.42640978
elephant,0.24727626,0.31104544,0.6283244,0.8538978,0.5060968,0.22722992,0.41162434,0.2870485,0.99999994,0.9515558,0.5156603,0.6039726
slon,0.3034973,0.36701134,0.6585738,0.86225694,0.52209866,0.28246602,0.458803,0.3229511,0.9515558,0.99999994,0.5714614,0.6764952
teksas jakna,0.4652393,0.5334514,0.6782783,0.53073984,0.5839543,0.38528338,0.6697338,0.46699524,0.5156603,0.5714614,0.9999999,0.6748903
jakna,0.39829224,0.47618872,0.81455725,0.5566294,0.65535814,0.35902992,0.64366156,0.42640978,0.6039726,0.6764952,0.6748903,1.0
