,Crvena haljina sa cvetnim uzorkom,Haljina crvene boje sa cvetnim dezenom,sorts sa dubokim dzepom,slon na terasi,London je glavni grad engleske,Red dress with floral pattern,dress,red dress,elephant,slon,teksas jakna,jakna
Crvena haljina sa cvetnim uzorkom,1.0,0.7845309,0.036978584,0.3469719,0.0013590194,0.37675828,0.35947013,0.2070554,0.141335,0.30838186,0.07248579,0.075033784
Haljina crvene boje sa cvetnim dezenom,0.7845309,1.0,0.07936116,0.28034315,-0.033510927,0.36591226,0.37467682,0.14541358,0.08355548,0.26013798,0.0038692877,0.033676352
sorts sa dubokim dzepom,0.036978584,0.07936116,1.0000001,0.40874982,0.037354905,-0.10015786,0.09728796,0.01602824,0.19534102,0.38838607,0.06552073,0.22492711
slon na terasi,0.3469719,0.28034315,0.40874982,1.0,0.23844928,0.24033242,0.4430322,0.26866156,0.39536494,0.79268014,0.37621242,0.45421416
London je glavni grad engleske,0.0013590194,-0.033510927,0.037354905,0.23844928,1.0000001,0.27493352,0.2323411,0.23415534,0.1578163,0.15655658,0.19712682,0.19025508
Red dress with floral pattern,0.37675828,0.36591226,-0.10015786,0.24033242,0.27493352,1.0,0.54825723,0.68770945,0.22517863,0.15837543,0.3462431,0.05040952
dress,0.35947013,0.37467682,0.09728796,0.4430322,0.2323411,0.54825723,1.0000001,0.6242228,0.37451723,0.46131247,0.2591818,0.36810097
red dress,0.2070554,0.14541358,0.01602824,0.26866156,0.23415534,0.68770945,0.6242228,1.0,0.35052735,0.26970455,0.31598204,0.21494731
elephant,0.141335,0.08355548,0.19534102,0.39536494,0.1578163,0.22517863,0.37451723,0.35052735,1.0,0.5745137,0.28630942,0.29948995
slon,0.30838186,0.26013798,0.38838607,0.79268014,0.15655658,0.15837543,0.46131247,0.26970455,0.5745137,1.0000002,0.2860301,0.4112379
teksas jakna,0.07248579,0.0038692877,0.06552073,0.37621242,0.19712682,0.3462431,0.2591818,0.31598204,0.28630942,0.2860301,1.0000001,0.28117937
jakna,0.075033784,0.033676352,0.22492711,0.45421416,0.19025508,0.05040952,0.36810097,0.21494731,0.29948995,0.4112379,0.28117937,1.0000002
